name	input_score	output_score_100
1	0.000000	0.188270
10	0.000000	0.298843
100	0.000000	0.198044
1000	0.000000	0.361197
1001	0.000000	0.139352
1002	0.000000	0.155547
1003	0.000000	0.424467
1004	0.000000	0.152747
1005	0.000000	0.203865
1006	0.000000	0.126911
1007	0.000000	0.131936
1008	0.000000	0.281770
1009	0.000000	0.424629
101	0.000000	0.000000
1010	0.000000	0.188270
1011	0.000000	0.202199
1012	0.000000	0.151561
1013	0.000000	0.000000
1014	0.000000	0.300538
1015	0.000000	0.037524
1016	0.000000	0.027057
1017	0.000000	0.126051
1018	0.000000	0.141975
1019	0.000000	0.888083
102	0.000000	0.217817
1020	0.000000	0.858615
1021	0.000000	0.112646
1022	0.000000	0.142013
1023	0.000000	0.132995
1024	0.000000	0.000000
1025	0.000000	0.120681
1026	0.000000	0.139367
1027	0.000000	0.168929
1028	0.000000	0.197004
1029	0.000000	0.131936
103	0.000000	0.040974
1030	0.000000	0.172521
1031	0.000000	0.142853
1032	0.000000	0.199549
1033	0.000000	0.109300
1034	0.000000	0.106098
1035	0.000000	0.203865
1036	0.000000	0.000000
1037	0.000000	0.266588
1038	0.000000	0.195391
1039	0.000000	0.299984
104	0.000000	0.165474
1040	0.000000	0.159630
1041	0.000000	0.467584
1042	0.000000	0.139367
1043	0.000000	0.105630
1044	0.000000	0.109459
1045	0.000000	0.104450
1046	0.000000	0.178828
1047	0.000000	0.105103
1048	0.000000	0.197632
1049	0.000000	0.000000
105	0.000000	0.108517
1050	0.000000	0.413655
1051	0.000000	0.000000
1052	0.000000	0.504730
1053	0.000000	0.123921
1054	0.000000	0.158706
1055	0.000000	0.197632
1056	0.000000	0.264436
1057	0.000000	0.000000
1058	0.000000	0.088226
1059	0.000000	0.273867
106	0.000000	0.160587
1060	0.000000	0.162938
1061	0.000000	0.230365
1062	0.000000	0.124587
1063	0.000000	0.000000
1064	0.000000	0.150286
1065	0.000000	0.144357
1066	0.000000	0.230965
1067	0.000000	0.133296
1068	0.000000	0.130782
1069	0.000000	0.810538
107	0.000000	0.177655
1070	0.000000	0.458861
1071	0.000000	0.143989
1072	0.000000	0.149023
1073	0.000000	0.157172
1074	0.000000	0.123782
1075	0.000000	0.553943
1076	0.000000	0.121422
1077	0.000000	0.267516
1078	0.000000	0.163084
1079	0.000000	0.192889
108	0.000000	0.151756
1080	0.000000	0.214433
1081	0.000000	0.000000
1082	0.000000	0.148242
1083	0.000000	0.129074
1084	0.000000	0.116660
1085	0.000000	0.434922
1086	0.000000	0.141950
1087	0.000000	0.307231
1088	0.000000	0.197632
1089	0.000000	0.095894
109	0.000000	0.000000
1090	0.000000	0.000000
1091	0.000000	0.264436
1092	0.000000	0.311166
1093	0.000000	0.163173
1094	0.000000	0.000000
1095	0.000000	0.095568
1096	0.000000	0.123782
1097	0.000000	0.151561
1098	0.000000	0.000000
1099	0.000000	0.307231
11	0.000000	0.214756
110	0.000000	0.000000
1100	0.000000	0.192889
1101	0.000000	0.203865
1102	0.000000	0.192889
1103	0.000000	0.246220
1104	0.000000	0.188270
1105	0.000000	0.142853
1106	0.000000	0.133401
1107	0.000000	0.105630
1108	0.000000	0.000000
1109	0.000000	0.198941
111	0.000000	0.200623
1110	0.000000	0.120302
1111	0.000000	0.272452
1112	0.000000	0.000000
1113	0.000000	0.000000
1114	0.000000	0.149372
1115	0.000000	0.000000
1116	0.000000	0.153049
1117	0.000000	0.458989
1118	0.000000	0.271497
1119	0.000000	0.195323
112	0.000000	0.000000
1120	0.000000	0.133480
1121	0.000000	0.131379
1122	0.000000	0.000000
1123	0.000000	0.125627
1124	0.000000	0.106098
1125	0.000000	0.134603
1126	0.000000	0.139352
1127	0.000000	0.784930
1128	0.000000	0.591585
1129	0.000000	0.198941
113	0.000000	0.265740
1130	0.000000	0.203865
1131	0.000000	0.000000
1132	0.000000	0.132978
1133	0.000000	0.210815
1134	0.000000	0.129054
1135	0.000000	0.130705
1136	0.000000	0.000000
1137	0.000000	0.000000
1138	0.000000	0.159630
1139	0.000000	0.152013
114	0.000000	0.161422
1140	0.000000	0.272452
1141	0.000000	0.272638
1142	0.000000	0.133401
1143	0.000000	0.253401
1144	0.000000	0.150177
1145	0.000000	0.000000
1146	0.000000	0.000000
1147	0.000000	0.000000
1148	0.000000	0.314089
1149	0.000000	0.000000
115	0.000000	0.216512
1150	0.000000	0.123589
1151	0.000000	0.135687
1152	0.000000	0.130705
1153	0.000000	0.000000
1154	0.000000	0.172443
1155	0.000000	0.088180
1156	0.000000	0.202199
1157	0.000000	0.000000
1158	0.000000	0.000000
1159	0.000000	0.116922
116	0.000000	0.152226
1160	0.000000	0.141950
1161	0.000000	0.150286
1162	0.000000	0.130705
1163	0.000000	0.000000
1164	0.000000	0.152718
1165	0.000000	0.257682
1166	0.000000	0.106098
1167	0.000000	0.095894
1168	0.000000	0.158706
1169	0.000000	0.000000
117	0.000000	0.557961
1170	0.000000	0.000000
1171	0.000000	0.197632
1172	0.000000	0.221620
1173	0.000000	0.045915
1174	0.000000	0.274836
1175	0.000000	0.555169
1176	0.000000	0.148061
1177	0.000000	0.000000
1178	0.000000	0.000000
1179	0.000000	0.197632
118	0.000000	0.268856
1180	0.000000	0.176158
1181	0.000000	0.363268
1182	0.000000	0.137776
1183	0.000000	0.000000
1184	0.000000	0.120681
1185	0.000000	0.238732
1186	0.000000	0.153218
1187	0.000000	0.130705
1188	0.000000	0.116922
1189	0.000000	0.319495
119	0.000000	0.227001
1190	0.000000	0.347276
1191	0.000000	0.132006
1192	0.000000	0.183948
1193	0.000000	0.136587
1194	0.000000	0.101662
1195	0.000000	0.108702
1196	0.000000	0.000000
1197	0.000000	0.086409
1198	0.000000	0.000000
1199	0.000000	0.197632
12	0.000000	0.277473
120	0.000000	0.000000
1200	0.000000	0.157127
1201	0.000000	0.273477
1202	0.000000	0.000000
1203	0.000000	0.342493
1204	0.000000	0.199038
1205	0.000000	0.137780
1206	0.000000	0.123921
1207	0.000000	0.135687
1208	0.000000	0.232981
1209	0.000000	0.000000
121	0.000000	0.177560
1210	0.000000	0.137214
1211	0.000000	0.196337
1212	0.000000	0.371604
1213	0.000000	0.139649
1214	0.000000	0.000000
1215	0.000000	0.233988
1216	0.000000	0.112692
1217	0.000000	0.188270
1218	0.000000	0.203865
1219	0.000000	0.000000
122	0.000000	0.441826
1220	0.000000	0.168714
1221	0.000000	0.133296
1222	0.000000	0.134479
1223	0.000000	0.159630
1224	0.000000	0.178828
1225	0.000000	0.141748
1226	0.000000	0.102811
1227	0.000000	0.307231
1228	0.000000	0.162157
1229	0.000000	0.188270
123	0.000000	0.224327
1230	0.000000	0.935127
1231	0.000000	0.611506
1232	0.000000	0.139367
1233	0.000000	0.119640
1234	0.000000	0.000000
1235	0.000000	0.139367
1236	0.000000	0.000000
1237	0.000000	0.000000
1238	0.000000	0.106098
1239	0.000000	0.253401
124	0.000000	0.228816
1240	0.000000	0.181273
1241	0.000000	0.116922
1242	0.000000	0.139367
1243	0.000000	0.138262
1244	0.000000	0.000000
1245	0.000000	0.172683
1246	0.000000	0.030400
1247	0.000000	0.223250
1248	0.000000	0.224327
1249	0.000000	0.199084
125	0.000000	0.109991
1250	0.000000	0.159630
1251	0.000000	0.000000
1252	0.000000	0.101662
1253	0.000000	0.227001
1254	0.000000	0.000000
1255	0.000000	0.410588
1256	0.000000	0.000000
1257	0.000000	0.139367
1258	0.000000	0.149372
1259	0.000000	0.299314
126	0.000000	0.142853
1260	0.000000	0.127220
1261	0.000000	0.102275
1262	0.000000	0.178828
1263	0.000000	0.159109
1264	0.000000	0.191840
1265	0.000000	0.188230
1266	0.000000	0.189504
1267	0.000000	0.066518
1268	0.000000	0.224907
1269	0.000000	0.377981
127	0.000000	0.139352
1270	0.000000	0.598531
1271	0.000000	0.000000
1272	0.000000	0.227315
1273	0.000000	0.131936
1274	0.000000	0.130951
1275	0.000000	0.196111
1276	0.000000	0.168714
1277	0.000000	0.156093
1278	0.000000	0.000000
1279	0.000000	0.000000
128	0.000000	0.130705
1280	0.000000	0.050081
1281	0.000000	0.332985
1282	0.000000	0.106098
1283	0.000000	0.000000
1284	0.000000	0.164474
1285	0.000000	0.000000
1286	0.000000	0.739252
1287	0.000000	0.295608
1288	0.000000	0.338921
1289	0.000000	0.000000
129	0.000000	0.197632
1290	0.000000	0.257723
1291	0.000000	0.000000
1292	0.000000	0.125627
1293	0.000000	0.186812
1294	0.000000	0.214032
1295	0.000000	0.101662
1296	0.000000	0.395175
1297	0.000000	0.000000
1298	0.000000	0.184751
1299	0.000000	0.256066
13	0.000000	0.203865
130	0.000000	0.402320
1300	0.000000	0.465541
1301	0.000000	0.446736
1302	0.000000	0.128829
1303	0.000000	0.105630
1304	0.000000	0.533430
1305	0.000000	0.196621
1306	0.000000	0.095932
1307	0.000000	0.106098
1308	0.000000	0.133401
1309	0.000000	0.160788
131	0.000000	0.116922
1310	0.000000	0.000000
1311	0.000000	0.146474
1312	0.000000	0.056909
1313	0.000000	0.182804
1314	0.000000	0.302786
1315	0.000000	0.246542
1316	0.000000	0.146474
1317	0.000000	0.000000
1318	0.000000	0.037524
1319	0.000000	0.341447
132	0.000000	0.189437
1320	0.000000	0.210213
1321	0.000000	0.239158
1322	0.000000	0.137621
1323	0.000000	0.265652
1324	0.000000	0.148083
1325	0.000000	0.135245
1326	0.000000	0.407623
1327	0.000000	0.184755
1328	0.000000	0.176336
1329	0.000000	0.310051
133	0.000000	0.221625
1330	0.000000	0.140837
1331	0.000000	0.137007
1332	0.000000	0.130705
1333	0.000000	0.184755
1334	0.000000	0.000000
1335	0.000000	0.153049
1336	0.000000	0.111875
1337	0.000000	0.182552
1338	0.000000	0.209147
1339	0.000000	0.000000
134	0.000000	0.157684
1340	0.000000	0.134415
1341	0.000000	0.142853
1342	0.000000	0.409893
1343	0.000000	0.234686
1344	0.000000	0.177960
1345	0.000000	2.120261
1346	0.000000	0.255210
1347	0.000000	0.283184
1348	0.000000	0.120681
1349	0.000000	0.157127
135	0.000000	0.129811
1350	0.000000	0.130705
1351	0.000000	0.165474
1352	0.000000	0.165474
1353	0.000000	0.152851
1354	0.000000	0.189816
1355	0.000000	0.274836
1356	0.000000	0.138628
1357	0.000000	0.204013
1358	0.000000	0.131948
1359	0.000000	0.115081
136	0.000000	0.050081
1360	0.000000	0.296181
1361	0.000000	0.197632
1362	0.000000	0.230307
1363	0.000000	0.183213
1364	0.000000	0.171900
1365	0.000000	0.133401
1366	0.000000	0.000000
1367	0.000000	0.613787
1368	0.000000	0.124248
1369	0.000000	0.157127
137	0.000000	0.000000
1370	0.000000	0.198939
1371	0.000000	0.253401
1372	0.000000	0.176158
1373	0.000000	0.106098
1374	0.000000	0.246220
1375	0.000000	0.224327
1376	0.000000	0.246220
1377	0.000000	0.224327
1378	0.000000	0.318159
1379	0.000000	0.120681
138	0.000000	0.153049
1380	0.000000	0.262602
1381	0.000000	0.227315
1382	0.000000	0.266316
1383	0.000000	0.315730
1384	0.000000	0.109991
1385	0.000000	0.188398
1386	0.000000	0.207399
1387	0.000000	0.113506
1388	0.000000	0.133401
1389	0.000000	0.254528
139	0.000000	0.157736
1390	0.000000	0.000000
1391	0.000000	0.000000
1392	0.000000	0.177655
1393	0.000000	0.203865
1394	0.000000	0.419247
1395	0.000000	0.350455
1396	0.000000	0.542274
1397	0.000000	0.000000
1398	0.000000	0.130705
1399	0.000000	0.158706
14	0.000000	0.329903
140	0.000000	0.141975
1400	0.000000	0.141950
1401	0.000000	0.000000
1402	0.000000	0.132978
1403	0.000000	0.159109
1404	0.000000	0.130705
1405	0.000000	0.000000
1406	0.000000	0.000000
1407	0.000000	0.239672
1408	0.000000	0.165947
1409	0.000000	0.158706
141	0.000000	0.160396
1410	0.000000	0.130705
1411	0.000000	0.259363
1412	0.000000	0.130705
1413	0.000000	0.099821
1414	0.000000	0.320175
1415	0.000000	0.130705
1416	0.000000	0.146123
1417	0.000000	0.316981
1418	0.000000	0.107534
1419	0.000000	0.256954
142	0.000000	0.339918
1420	0.000000	0.147346
1421	0.000000	0.147547
1422	0.000000	0.000000
1423	0.000000	0.165474
1424	0.000000	0.188270
1425	0.000000	0.136361
1426	0.000000	0.200497
1427	0.000000	0.066490
1428	0.000000	0.050081
1429	0.000000	0.221553
143	0.000000	0.130705
1430	0.000000	0.160396
1431	0.000000	0.120681
1432	0.000000	0.247387
1433	0.000000	0.000000
1434	0.000000	0.000000
1435	0.000000	0.000000
1436	0.000000	0.126019
1437	0.000000	0.254558
1438	0.000000	0.197632
1439	0.000000	0.000000
144	0.000000	0.220447
1440	0.000000	0.026271
1441	0.000000	0.128261
1442	0.000000	0.133774
1443	0.000000	0.165474
1444	0.000000	0.000000
1445	0.000000	0.000000
1446	0.000000	0.137214
1447	0.000000	0.089572
1448	0.000000	0.176206
1449	0.000000	0.246220
145	0.000000	0.608352
1450	0.000000	0.130782
1451	0.000000	0.121552
1452	0.000000	0.135245
1453	0.000000	0.192889
1454	0.000000	0.101662
1455	0.000000	0.146376
1456	0.000000	0.266145
1457	0.000000	0.000000
1458	0.000000	0.151808
1459	0.000000	0.124248
146	0.000000	0.168714
1460	0.000000	0.023309
1461	0.000000	0.050081
1462	0.000000	0.198811
1463	0.000000	0.278280
1464	0.000000	0.253401
1465	0.000000	0.000000
1466	0.000000	0.191699
1467	0.000000	0.000000
1468	0.000000	0.204227
1469	0.000000	0.188230
147	0.000000	0.220447
1470	0.000000	0.000000
1471	0.000000	0.000000
1472	0.000000	0.122929
1473	0.000000	0.549389
1474	0.000000	0.193583
1475	0.000000	0.234671
1476	0.000000	0.203912
1477	0.000000	0.180412
1478	0.000000	0.126418
1479	0.000000	0.223250
148	0.000000	0.188270
1480	0.000000	0.281211
1481	0.000000	0.316613
1482	0.000000	0.435795
1483	0.000000	0.272452
1484	0.000000	0.176158
1485	0.000000	0.131948
1486	0.000000	0.223714
1487	0.000000	0.135245
1488	0.000000	0.132978
1489	0.000000	0.108517
149	0.000000	0.152433
1490	0.000000	0.287356
1491	0.000000	0.147777
1492	0.000000	0.139352
1493	0.000000	0.203072
1494	0.000000	0.139352
1495	0.000000	0.126413
1496	0.000000	0.575022
1497	0.000000	0.229185
1498	100.000000	1.633719
1499	0.000000	0.176633
15	0.000000	0.379975
150	0.000000	0.299466
1500	0.000000	0.158264
1501	0.000000	0.158264
1502	0.000000	0.108517
1503	0.000000	0.130951
1504	0.000000	0.203865
1505	0.000000	0.218780
1506	0.000000	0.404638
1507	0.000000	0.463067
1508	0.000000	0.209147
1509	0.000000	0.404638
151	0.000000	0.203072
1510	0.000000	0.299657
1511	0.000000	0.246220
1512	0.000000	0.490567
1513	0.000000	0.185311
1514	0.000000	0.147324
1515	0.000000	0.147324
1516	0.000000	0.147324
1517	0.000000	0.187289
1518	0.000000	0.267516
1519	0.000000	0.000000
152	0.000000	0.147836
1520	0.000000	0.000000
1521	0.000000	0.000000
1522	0.000000	0.203865
1523	0.000000	0.177655
1524	0.000000	0.218217
1525	0.000000	0.304367
1526	0.000000	0.165474
1527	0.000000	0.146474
1528	0.000000	0.172443
1529	0.000000	0.241876
153	0.000000	0.172284
1530	0.000000	0.000000
1531	0.000000	0.116154
1532	0.000000	0.148083
1533	0.000000	0.338209
1534	0.000000	0.315673
1535	0.000000	0.329579
1536	0.000000	0.296094
1537	0.000000	0.381611
1538	0.000000	0.157684
1539	0.000000	0.197632
154	0.000000	0.144357
1540	0.000000	0.113506
1541	0.000000	0.144357
1542	0.000000	0.144357
1543	0.000000	0.144357
1544	0.000000	0.212450
1545	0.000000	0.276408
1546	0.000000	0.130951
1547	0.000000	0.168434
1548	0.000000	0.510355
1549	0.000000	0.148083
155	0.000000	0.000000
1550	0.000000	0.156500
1551	0.000000	0.734322
1552	0.000000	0.190185
1553	0.000000	0.246220
1554	0.000000	0.190645
1555	0.000000	0.474183
1556	0.000000	0.372653
1557	0.000000	0.193739
1558	0.000000	0.232623
1559	0.000000	0.135953
156	0.000000	0.160076
1560	0.000000	0.172521
1561	100.000000	1.182988
1562	0.000000	0.443815
1563	0.000000	0.146474
1564	0.000000	0.171044
1565	0.000000	0.113390
1566	0.000000	0.187173
1567	0.000000	0.608352
1568	0.000000	0.608352
1569	0.000000	0.129054
157	0.000000	0.542561
1570	0.000000	0.244853
1571	0.000000	0.000000
1572	0.000000	0.227054
1573	0.000000	0.105630
1574	0.000000	0.266145
1575	0.000000	0.242691
1576	0.000000	0.149044
1577	0.000000	0.203865
1578	0.000000	0.000000
1579	0.000000	0.000000
158	0.000000	0.141950
1580	0.000000	0.000000
1581	0.000000	0.143858
1582	0.000000	0.380759
1583	0.000000	0.398296
1584	0.000000	0.129054
1585	0.000000	0.000000
1586	0.000000	0.147836
1587	0.000000	0.139352
1588	0.000000	0.203865
1589	0.000000	0.250519
159	0.000000	0.197632
1590	0.000000	0.197632
1591	0.000000	0.135953
1592	0.000000	0.107589
1593	0.000000	0.266174
1594	0.000000	0.236108
1595	0.000000	0.171560
1596	0.000000	0.209147
1597	0.000000	0.165474
1598	0.000000	0.246291
1599	0.000000	0.215344
16	0.000000	0.150177
160	0.000000	0.430463
1600	0.000000	0.156168
1601	0.000000	0.120565
1602	0.000000	0.167430
1603	0.000000	0.126563
1604	0.000000	0.138628
1605	0.000000	0.188270
1606	0.000000	0.262797
1607	0.000000	0.224327
1608	0.000000	0.225837
1609	0.000000	0.152749
161	0.000000	0.430463
1610	0.000000	0.000000
1611	0.000000	0.137994
1612	0.000000	0.147108
1613	0.000000	0.203865
1614	0.000000	0.151324
1615	0.000000	0.232170
1616	0.000000	0.272452
1617	0.000000	0.176158
1618	0.000000	0.148083
1619	0.000000	0.186626
162	0.000000	0.141975
1620	0.000000	0.165962
1621	0.000000	0.165474
1622	0.000000	0.166424
1623	0.000000	0.116514
1624	0.000000	0.000000
1625	0.000000	0.147324
1626	0.000000	0.000000
1627	0.000000	0.000000
1628	0.000000	0.130951
1629	0.000000	0.149044
163	0.000000	0.165295
1630	0.000000	0.216889
1631	0.000000	0.134479
1632	0.000000	0.206560
1633	0.000000	0.188551
1634	0.000000	0.124117
1635	0.000000	0.177284
1636	0.000000	0.182585
1637	0.000000	0.142935
1638	0.000000	0.133401
1639	0.000000	0.181273
164	0.000000	0.141950
1640	0.000000	0.158430
1641	0.000000	0.325680
1642	0.000000	0.000000
1643	0.000000	0.000000
1644	0.000000	0.101662
1645	0.000000	0.203865
1646	0.000000	0.203865
1647	0.000000	0.235488
1648	0.000000	0.145793
1649	0.000000	0.171560
165	0.000000	0.149023
1650	0.000000	0.271664
1651	0.000000	0.154531
1652	0.000000	0.631442
1653	0.000000	0.403294
1654	0.000000	0.403294
1655	0.000000	0.430978
1656	0.000000	0.372653
1657	0.000000	2.791304
1658	0.000000	0.372653
1659	0.000000	0.372653
166	0.000000	0.102191
1660	0.000000	0.386520
1661	0.000000	0.373933
1662	0.000000	0.372653
1663	0.000000	1.687346
1664	0.000000	0.000000
1665	0.000000	0.239485
1666	0.000000	0.272782
1667	0.000000	0.295715
1668	0.000000	0.155931
1669	0.000000	0.153354
167	0.000000	0.318198
1670	0.000000	0.268273
1671	0.000000	0.150057
1672	0.000000	0.273443
1673	0.000000	0.000000
1674	0.000000	0.000000
1675	0.000000	0.161239
1676	0.000000	0.145793
1677	0.000000	0.178881
1678	0.000000	0.207731
1679	0.000000	0.108517
168	0.000000	0.086409
1680	0.000000	0.546132
1681	0.000000	0.209313
1682	0.000000	0.181925
1683	0.000000	0.135687
1684	0.000000	0.208404
1685	0.000000	0.000000
1686	0.000000	0.000000
1687	0.000000	0.147324
1688	0.000000	0.188270
1689	0.000000	0.176158
169	0.000000	0.139367
1690	0.000000	0.230365
1691	0.000000	0.230365
1692	0.000000	0.230365
1693	0.000000	0.285650
1694	0.000000	0.320240
1695	0.000000	0.230365
1696	0.000000	0.168714
1697	0.000000	0.177560
1698	0.000000	0.139352
1699	0.000000	0.133296
17	0.000000	0.329903
170	0.000000	0.139367
1700	0.000000	0.142935
1701	0.000000	0.234236
1702	0.000000	0.234236
1703	0.000000	0.125806
1704	0.000000	0.105630
1705	0.000000	0.217364
1706	0.000000	0.697250
1707	0.000000	0.158376
1708	0.000000	0.230365
1709	0.000000	0.226259
171	0.000000	0.000000
1710	0.000000	0.381967
1711	0.000000	0.215364
1712	0.000000	0.137100
1713	0.000000	0.209313
1714	0.000000	0.132978
1715	0.000000	0.187035
1716	0.000000	0.253308
1717	0.000000	0.297326
1718	0.000000	0.224327
1719	0.000000	0.158264
172	0.000000	0.262201
1720	0.000000	0.130705
1721	0.000000	0.180508
1722	0.000000	0.158706
1723	0.000000	0.157684
1724	0.000000	0.109991
1725	0.000000	0.133296
1726	0.000000	0.121720
1727	0.000000	0.000000
1728	0.000000	0.333601
1729	0.000000	0.203865
173	0.000000	0.000000
1730	0.000000	0.102574
1731	0.000000	0.000000
1732	0.000000	0.126911
1733	0.000000	0.000000
1734	0.000000	0.319595
1735	0.000000	0.000000
1736	0.000000	0.152226
1737	0.000000	0.152226
1738	0.000000	0.000000
1739	0.000000	0.111875
174	0.000000	0.000000
1740	0.000000	0.175487
1741	0.000000	0.176324
1742	0.000000	0.197632
1743	0.000000	0.099184
1744	0.000000	0.000000
1745	0.000000	0.129333
1746	0.000000	0.209147
1747	0.000000	0.000000
1748	0.000000	0.105630
1749	0.000000	0.197632
175	0.000000	0.267488
1750	0.000000	0.128963
1751	0.000000	0.000000
1752	0.000000	0.409652
1753	0.000000	0.623768
1754	0.000000	0.000000
1755	0.000000	0.000000
1756	0.000000	0.113777
1757	0.000000	0.000000
1758	0.000000	0.135687
1759	0.000000	0.388578
176	0.000000	0.684488
1760	0.000000	0.125627
1761	0.000000	0.000000
1762	0.000000	0.216052
1763	0.000000	0.000000
1764	0.000000	0.119944
1765	0.000000	0.105059
1766	0.000000	0.276408
1767	0.000000	2.660859
1768	0.000000	1.404815
1769	0.000000	0.513590
177	0.000000	0.101132
1770	0.000000	0.073459
1771	0.000000	0.208966
1772	0.000000	0.000000
1773	0.000000	0.134479
1774	0.000000	0.066459
1775	0.000000	0.126438
1776	0.000000	0.198941
1777	0.000000	0.513590
1778	0.000000	0.000000
1779	0.000000	0.089463
178	0.000000	0.179093
1780	0.000000	0.000000
1781	0.000000	0.188270
1782	0.000000	0.172521
1783	0.000000	0.580006
1784	0.000000	0.066459
1785	0.000000	0.246220
1786	0.000000	0.246220
1787	0.000000	0.089309
1788	0.000000	0.172013
1789	0.000000	0.128397
179	0.000000	0.000000
1790	0.000000	0.147324
1791	0.000000	0.335251
1792	0.000000	0.163035
1793	0.000000	0.116660
1794	0.000000	0.073459
1795	0.000000	0.000000
1796	0.000000	0.209147
1797	0.000000	0.700346
1798	0.000000	0.000000
1799	0.000000	0.148056
18	0.000000	0.197632
180	0.000000	0.141950
1800	0.000000	0.195720
1801	0.000000	0.139352
1802	0.000000	0.227315
1803	0.000000	0.137214
1804	0.000000	0.125767
1805	0.000000	0.253401
1806	0.000000	0.167471
1807	0.000000	0.283860
1808	0.000000	0.298371
1809	0.000000	0.224327
181	0.000000	0.165962
1810	0.000000	0.000000
1811	0.000000	0.153049
1812	0.000000	0.188270
1813	0.000000	0.121422
1814	0.000000	0.120681
1815	0.000000	0.130705
1816	0.000000	0.234236
1817	0.000000	0.272452
1818	0.000000	0.281016
1819	0.000000	0.168714
182	0.000000	0.116922
1820	0.000000	0.263453
1821	0.000000	0.177560
1822	0.000000	0.227897
1823	0.000000	0.187035
1824	0.000000	0.136468
1825	0.000000	0.123218
1826	0.000000	0.156093
1827	0.000000	2.934950
1828	0.000000	0.172521
1829	0.000000	0.171919
183	0.000000	0.203865
1830	100.000000	1.193964
1831	0.000000	0.130705
1832	0.000000	0.156403
1833	0.000000	0.088180
1834	0.000000	0.151695
1835	0.000000	0.112646
1836	0.000000	0.000000
1837	0.000000	0.108517
1838	0.000000	0.172521
1839	0.000000	0.188270
184	0.000000	0.157127
1840	0.000000	0.000000
1841	0.000000	0.645247
1842	0.000000	0.079564
1843	0.000000	0.197632
1844	0.000000	0.156093
1845	0.000000	0.079564
1846	0.000000	0.000000
1847	0.000000	0.000000
1848	0.000000	0.000000
1849	0.000000	0.153218
185	0.000000	0.000000
1850	0.000000	0.157052
1851	0.000000	0.095568
1852	0.000000	0.178828
1853	0.000000	0.223336
1854	0.000000	0.139367
