GeneName	GOTerm	TermLevel
Hmga2	DNA conformation change	4
Hmga2	DNA damage checkpoint	2
Hmga2	DNA damage response, detection of DNA damage	0
Hmga2	DNA integrity checkpoint	3
Hmga2	DNA metabolic process	5
Hmga2	DNA packaging	3
Hmga2	DNA repair	1
Hmga2	G2/M transition DNA damage checkpoint	1
Hmga2	G2/M transition checkpoint	2
Hmga2	G2/M transition of mitotic cell cycle	2
Hmga2	M phase	2
Hmga2	M phase of meiotic cell cycle	1
Hmga2	M phase of mitotic cell cycle	1
Hmga2	RNA biosynthetic process	1
Hmga2	RNA metabolic process	2
Hmga2	adipose tissue development	1
Hmga2	adrenal gland development	0
Hmga2	aging	3
Hmga2	anatomical structure development	9
Hmga2	anatomical structure formation involved in morphogenesis	3
Hmga2	anatomical structure morphogenesis	5
Hmga2	base-excision repair	0
Hmga2	biological regulation	10
Hmga2	biological_process	12
Hmga2	biosynthetic process	3
Hmga2	brain development	3
Hmga2	cartilage development	1
Hmga2	cell aging	2
Hmga2	cell communication	2
Hmga2	cell cycle	7
Hmga2	cell cycle checkpoint	4
Hmga2	cell cycle phase	5
Hmga2	cell cycle process	6
Hmga2	cell development	3
Hmga2	cell differentiation	7
Hmga2	cell division	0
Hmga2	cell morphogenesis	2
Hmga2	cell morphogenesis involved in differentiation	1
Hmga2	cell proliferation	2
Hmga2	cell proliferation in forebrain	0
Hmga2	cell-cell signaling	1
Hmga2	cellular biosynthetic process	2
Hmga2	cellular component assembly	4
Hmga2	cellular component assembly at cellular level	3
Hmga2	cellular component biogenesis	5
Hmga2	cellular component morphogenesis	3
Hmga2	cellular component organization	10
Hmga2	cellular component organization at cellular level	9
Hmga2	cellular component organization or biogenesis	11
Hmga2	cellular component organization or biogenesis at cellular level	10
Hmga2	cellular developmental process	8
Hmga2	cellular macromolecule biosynthetic process	1
Hmga2	cellular macromolecule metabolic process	7
Hmga2	cellular metabolic process	9
Hmga2	cellular nitrogen compound metabolic process	8
Hmga2	cellular process	11
Hmga2	cellular process involved in reproduction	3
Hmga2	cellular protein metabolic process	6
Hmga2	cellular protein modification process	5
Hmga2	cellular response to stimulus	5
Hmga2	cellular response to stress	4
Hmga2	cellular senescence	1
Hmga2	central nervous system development	4
Hmga2	chondrocyte differentiation	0
Hmga2	chondrocyte proliferation	0
Hmga2	chromatin assembly	2
Hmga2	chromatin assembly or disassembly	3
Hmga2	chromatin modification	5
Hmga2	chromatin organization	6
Hmga2	chromatin remodeling	2
Hmga2	chromosome breakage	0
Hmga2	chromosome condensation	0
Hmga2	chromosome organization	7
Hmga2	connective tissue development	2
Hmga2	covalent chromatin modification	4
Hmga2	detection of stimulus	1
Hmga2	development of primary male sexual characteristics	1
Hmga2	development of primary sexual characteristics	2
Hmga2	developmental process	10
Hmga2	developmental process involved in reproduction	4
Hmga2	diencephalon development	1
Hmga2	embryo development	5
Hmga2	embryonic morphogenesis	4
Hmga2	endocrine system development	1
Hmga2	endoderm development	2
Hmga2	endoderm formation	1
Hmga2	endodermal cell differentiation	0
Hmga2	epithelial to mesenchymal transition	0
Hmga2	fat cell differentiation	0
Hmga2	fat pad development	0
Hmga2	forebrain development	2
Hmga2	formation of primary germ layer	2
Hmga2	gamete generation	2
Hmga2	gastrulation	3
Hmga2	gene expression	1
Hmga2	generation of neurons	5
Hmga2	gland development	1
Hmga2	gonad development	1
Hmga2	heterochromatin assembly	1
Hmga2	heterochromatin organization	2
Hmga2	histone H2A-S139 phosphorylation	0
Hmga2	histone modification	3
Hmga2	histone phosphorylation	2
Hmga2	histone-serine phosphorylation	1
Hmga2	interaction with symbiont	4
Hmga2	interphase	4
Hmga2	interphase of mitotic cell cycle	3
Hmga2	interspecies interaction between organisms	6
Hmga2	macromolecule biosynthetic process	2
Hmga2	macromolecule metabolic process	8
Hmga2	macromolecule modification	7
Hmga2	male gamete generation	1
Hmga2	male gonad development	0
Hmga2	male sex differentiation	2
Hmga2	meiosis	0
Hmga2	meiotic cell cycle	2
Hmga2	mesenchymal cell development	1
Hmga2	mesenchymal cell differentiation	2
Hmga2	mesenchyme development	3
Hmga2	mesoderm development	3
Hmga2	mesoderm formation	1
Hmga2	mesoderm morphogenesis	2
Hmga2	mesodermal cell differentiation	0
Hmga2	mesodermal-endodermal cell signaling	0
Hmga2	metabolic process	10
Hmga2	mitosis	0
Hmga2	mitotic cell cycle	4
Hmga2	mitotic cell cycle G2/M transition DNA damage checkpoint	0
Hmga2	mitotic cell cycle G2/M transition checkpoint	1
Hmga2	mitotic cell cycle checkpoint	2
Hmga2	modification by host of symbiont morphology or physiology	3
Hmga2	modification of morphology or physiology of other organism	5
Hmga2	modification of morphology or physiology of other organism involved in symbiotic interaction	4
Hmga2	modulation by host of symbiont transcription	2
Hmga2	modulation by host of viral transcription	1
Hmga2	modulation of transcription in other organism involved in symbiotic interaction	3
Hmga2	multi-organism process	7
Hmga2	multicellular organism reproduction	4
Hmga2	multicellular organismal development	9
Hmga2	multicellular organismal process	10
Hmga2	multicellular organismal reproductive process	3
Hmga2	negative regulation by host of viral transcription	0
Hmga2	negative regulation of DNA binding	0
Hmga2	negative regulation of DNA metabolic process	3
Hmga2	negative regulation of DNA repair	2
Hmga2	negative regulation of JAK-STAT cascade	0
Hmga2	negative regulation of RNA metabolic process	2
Hmga2	negative regulation of apoptotic process	0
Hmga2	negative regulation of astrocyte differentiation	0
Hmga2	negative regulation of binding	1
Hmga2	negative regulation of biological process	7
Hmga2	negative regulation of biosynthetic process	4
Hmga2	negative regulation of cell communication	3
Hmga2	negative regulation of cell death	2
Hmga2	negative regulation of cell development	4
Hmga2	negative regulation of cell differentiation	5
Hmga2	negative regulation of cellular biosynthetic process	3
Hmga2	negative regulation of cellular macromolecule biosynthetic process	2
Hmga2	negative regulation of cellular metabolic process	5
Hmga2	negative regulation of cellular process	6
Hmga2	negative regulation of developmental process	6
Hmga2	negative regulation of double-strand break repair	1
Hmga2	negative regulation of double-strand break repair via nonhomologous end joining	0
Hmga2	negative regulation of gene expression	2
Hmga2	negative regulation of glial cell differentiation	1
Hmga2	negative regulation of gliogenesis	2
Hmga2	negative regulation of intracellular protein kinase cascade	1
Hmga2	negative regulation of intracellular steroid hormone receptor signaling pathway	0
Hmga2	negative regulation of macromolecule biosynthetic process	3
Hmga2	negative regulation of macromolecule metabolic process	4
Hmga2	negative regulation of metabolic process	6
Hmga2	negative regulation of molecular function	2
Hmga2	negative regulation of neurogenesis	3
Hmga2	negative regulation of nitrogen compound metabolic process	5
Hmga2	negative regulation of nucleobase-containing compound metabolic process	4
Hmga2	negative regulation of programmed cell death	1
Hmga2	negative regulation of reproductive process	2
Hmga2	negative regulation of response to DNA damage stimulus	3
Hmga2	negative regulation of response to stimulus	4
Hmga2	negative regulation of retroviral genome replication	0
Hmga2	negative regulation of signal transduction	2
Hmga2	negative regulation of signaling	3
Hmga2	negative regulation of transcription from RNA polymerase II promoter	0
Hmga2	negative regulation of transcription, DNA-dependent	1
Hmga2	negative regulation of viral genome replication	1
Hmga2	negative regulation of viral reproduction	2
Hmga2	negative regulation of viral transcription	1
Hmga2	nervous system development	7
Hmga2	neural precursor cell proliferation	1
Hmga2	neurogenesis	6
Hmga2	nitrogen compound metabolic process	9
Hmga2	nuclear division	1
