AFUA_1G16560	AFUB_015910
AFUA_6G10050	AFUB_076100
AFUA_1G03940	AFUB_004340
AFUA_1G02160	AFUB_002540
AFUA_6G06535	AFUB_072460
AFUA_4G07845	AFUB_064950
AFUA_3G06510	AFUB_042540
AFUA_1G16564	AFUB_015920
AFUA_2G07380	AFUB_023440
AFUA_5G02180	AFUB_050710
AFUA_2G01300	AFUB_018380
AFUA_2G15700	AFUB_031350
AFUA_4G11370	AFUB_068400
AFUA_2G12680	AFUB_028320
AFUA_8G06090	AFUB_081390
AFUA_1G06050	AFUB_006430
AFUA_5G03970	AFUB_052470
AFUA_3G10040	AFUB_039140
AFUA_3G11820	AFUB_037360
AFUA_1G11350	AFUB_010780
AFUA_7G06540	AFUB_092120
AFUA_5G07850	AFUB_055380
AFUA_5G06070	AFUB_053630
AFUA_3G01300	AFUB_047080
AFUA_2G16570	AFUB_032250
AFUA_2G02170	AFUB_019260
AFUA_2G03950	AFUB_021020
AFUA_5G11370	AFUB_058940
AFUA_6G05210	AFUB_093060
AFUA_4G06520	AFUB_063600
AFUA_3G07390	AFUB_041690
AFUA_8G02660	AFUB_071510, AFUB_083930
AFUA_6G02190	AFUB_096150
AFUA_6G03970	AFUB_094310
AFUA_6G10510	AFUB_076560
AFUA_1G02620	AFUB_003000
AFUA_1G15240	AFUB_014790
AFUA_4G10040	AFUB_067150
AFUA_3G12690	AFUB_036480
AFUA_7G01330	AFUB_087910
AFUA_2G07840	AFUB_023870
AFUA_2G06060	AFUB_023140
AFUA_5G02640	AFUB_051170
AFUA_4G11830	AFUB_068830
AFUA_2G11360	AFUB_027120
AFUA_8G06550	AFUB_081230
AFUA_6G07860	AFUB_073840
AFUA_4G07390	AFUB_064480
AFUA_6G14400	AFUB_000360
AFUA_1G06510	AFUB_006890
AFUA_4G01310	AFUB_101800
AFUA_8G06554	AFUB_081229
AFUA_3G02180	AFUB_046190
AFUA_3G03960	AFUB_044000
AFUA_6G11380	AFUB_077390
AFUA_3G10500	AFUB_038660
AFUA_1G03490	AFUB_003900
AFUA_1G11810	AFUB_011260
AFUA_1G10030	AFUB_009450
AFUA_7G05220	AFUB_090800
AFUA_5G06530	AFUB_054080
AFUA_3G06060	AFUB_042990
AFUA_7G03980	AFUB_089510
AFUA_2G02630	AFUB_019730
AFUA_5G11830	AFUB_059380
AFUA_5G10050	AFUB_057640
AFUA_3G07850	AFUB_041260
AFUA_2G15255	AFUB_030930
AFUA_8G01340	AFUB_085270
AFUA_6G02650	AFUB_095660
AFUA_1G07380	AFUB_007730
AFUA_1G01300	AFUB_079490
AFUA_1G15700	AFUB_015230
AFUA_4G10500	AFUB_067600
AFUA_3G11370	AFUB_037800
AFUA_8G05220	AFUB_082300
AFUA_1G12680	AFUB_012150
AFUA_7G06090	AFUB_091680
AFUA_5G01320	AFUB_049820
AFUA_4G03970	AFUB_099040
AFUA_3G15250	AFUB_033970
AFUA_6G06540	AFUB_072470
AFUA_4G06070	AFUB_063180
AFUA_4G07850	AFUB_064960
AFUA_8G03990	AFUB_083580
AFUA_3G02640	AFUB_033660
AFUA_6G11840	AFUB_077840
AFUA_6G10060	AFUB_076130
AFUA_1G03950	AFUB_004350
AFUA_1G02170	AFUB_002550
AFUA_1G16570	AFUB_015940
AFUA_3G06520	AFUB_042530
AFUA_5G02190	AFUB_050720
AFUA_2G15710	AFUB_031360
AFUA_2G01310	AFUB_018390
AFUA_5G10510	AFUB_058090
AFUA_4G11380	AFUB_068410
AFUA_2G12690	AFUB_028330
AFUA_8G01800	AFUB_084800
AFUA_1G06060	AFUB_006440
AFUA_5G03980	AFUB_052480
AFUA_3G10050	AFUB_039130
AFUA_3G11830	AFUB_037350
AFUA_5G09100	AFUB_056640
AFUA_1G11360	AFUB_010790
AFUA_7G06550	AFUB_092130
AFUA_5G07860	AFUB_055390
AFUA_5G06080	AFUB_053640
AFUA_4G02650	AFUB_100500
AFUA_3G01310	AFUB_047070
AFUA_2G16580	AFUB_032260
AFUA_2G03960	AFUB_021030
AFUA_2G02180	AFUB_019270
AFUA_5G11380	AFUB_058950
AFUA_2G10500	AFUB_026290
AFUA_6G05220	AFUB_093050
AFUA_4G06530	AFUB_063610
AFUA_8G02670	AFUB_083920
AFUA_6G03980	AFUB_094300
AFUA_6G10520	AFUB_076570
AFUA_1G15250	AFUB_014800
AFUA_1G02630	AFUB_003010
AFUA_6G09100	AFUB_075050
AFUA_4G10050	AFUB_067160
AFUA_7G01340	AFUB_087920
AFUA_2G06070	AFUB_023150
AFUA_5G02650	AFUB_051180
AFUA_4G11840	AFUB_068840
AFUA_2G11370	AFUB_027130
